"","Site","Sample_ID","Replica","Season.x","Nb_plastic","mass_plastic_mg","Code_station","Replicate","Season.y","Volume","Debit (m3/s)","NTU","river","Conc_nb_plastic_m3","Conc_mass_plastic_mg_m3","Flood"
"45","11","11-3-C2","3","C2",3,2.21,"GSG",3,"B3",37.39692,144,4.2,"Garonne",0.0802205101382681,0.0590957758018575,"Without"
"46","11","11-3-C3","3","C3",31,26.259,"GSG",3,"B4",27.9456,242,8.4,"Garonne",1.10929806481163,0.939647028512539,"With"
"47","11","11-3-C4","3","C4",2,1.143,"GSG",3,"B5",128.07744,134,5.1,"Garonne",0.0156155525906826,0.00892428830557513,"Without"
"48","11","11-3-D","3","D",1,1.089,"GSG",3,"B6",66.28224,80.1,5.9,"Garonne",0.0150869976633258,0.0164297404553618,"Without"
"49","6","6-1-C1","1",NA,0,0,"MUG",1,"B2",228.83904,118,2.7,"Garonne",0,0,"Without"
"50","6","6-1-C2","1",NA,0,0,"MUG",1,"B3",135.71328,135,2.9,"Garonne",0,0,"Without"
"51","6","6-1-C4","1",NA,0,0,"MUG",1,"B5",118.55232,127,3.2,"Garonne",0,0,"Without"
"52","6","6-2-C1","2",NA,0,0,"MUG",2,"B2",105.32736,118,2.7,"Garonne",0,0,"Without"
"53","6","6-3-C2","3",NA,0,0,"MUG",3,"B3",131.14752,135,2.9,"Garonne",0,0,"Without"
"54","11","11-2-D","2",NA,0,0,"GSG",2,"B6",33.53472,80.1,5.9,"Garonne",0,0,"Without"
