"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"37","GSG","11-2-C3",2,"C3","FILET","A",24,"21-B7",5,"White","PS",1.721,3.263,3.378,8.787,10.625,3.263,3.378,3.3205,1.02624101090647,1.01752009316366,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"38","GSG","11-2-C3",2,"C3","FILET","A",24,"21-B8",3,"White","PS",0.148,2.032,1.534,2.075,5.757,2.032,1.534,0.33,1.87329656973397,0.496779840940596,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"39","GSG","11-2-C3",2,"C3","FILET","A",24,"21-C2",5,"White","PS",3.181,3.873,3.85,11.244,12.068,3.873,3.85,3.8615,0.995540566453707,0.997027777911151,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"40","GSG","11-2-C3",2,"C3","FILET","A",24,"21-C3",5,"White","PS",0.151,1.842,1.506,2.04,5.218,1.842,1.506,1.674,0.857634873377669,0.905733416895707,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"41","GSG","11-2-C3",2,"C3","FILET","A",24,"21-C4",3,"Yellow","PS",1.332,4.051,3.22,8.408,10.938,4.051,3.22,0.33,2.78495242237876,0.401558147215808,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"42","GSG","11-2-C3",2,"C3","FILET","A",24,"21-C5",3,"Grey","PS",0.245,1.995,1.445,2.427,5.849,1.995,1.445,0.33,1.78089956217374,0.492983059361231,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"43","GSG","11-3-C3",3,"C3","FILET","B",23,"22-C3",3,"White","PS",0.099,2.529,1.219,2.326,6.512,2.529,1.219,0.33,1.33435786871141,0.397685718969699,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"44","GSG","11-3-C3",3,"C3","FILET","B",23,"22-C4",3,"White","PS",0.164,4.657,3.39,12.895,14.477,4.657,3.39,0.33,2.73457355315553,0.372249155132969,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"45","GSG","11-3-C3",3,"C3","FILET","B",23,"22-C5",3,"White","PS",0.227,2.726,1.74,3.624,7.244,2.726,1.74,0.33,1.83454915431916,0.425928952007138,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"46","GSG","11-3-C3",3,"C3","FILET","B",23,"22-C7",5,"White","PS",2.084,3.664,3.409,9.2,10.899,3.664,3.409,3.5365,0.947027166788248,0.964783597270257,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"47","GSG","11-3-C3",3,"C3","FILET","B",23,"22-C8",3,"White","PS",0.483,3.328,2.661,6.014,9.256,3.328,2.661,0.33,2.53919612007202,0.429599789341176,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"48","GSG","11-3-C3",3,"C3","FILET","B",23,"22-D3",5,"Grey","PS",0.509,3.816,3.008,7.889,10.403,3.816,3.008,3.412,0.833621942693858,0.889931762552191,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"49","GSG","11-3-C3",3,"C3","FILET","B",23,"22-D7",5,"White","PS",0.457,2.66,2.583,4.15,7.476,2.66,2.583,2.6215,0.978157201828522,0.985455455987882,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"50","GSG","11-3-C3",3,"C3","FILET","B",23,"22-D8",3,"Black","PS",0.259,1.9,1.022,1.55,5.029,1.9,1.022,0.33,1.29067567582235,0.453752688495521,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"51","GSG","11-3-C3",3,"C3","FILET","B",23,"22-E1",3,"White","PS",0.045,1.827,0.978,1.191,4.3,1.827,0.978,0.33,1.25954187630657,0.458978032556819,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"52","GSG","11-3-C3",3,"C3","FILET","B",23,"22-E2",5,"Red","PS",3.747,4.006,4.14,12.901,12.825,4.006,4.14,4.073,1.02491456191021,1.01663319725048,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"53","GSG","11-3-C3",3,"C3","FILET","B",23,"22-E4",5,"Red","PS",3.685,4.118,4.136,12.91,12.855,4.118,4.136,4.127,1.00327530966136,1.00218393824845,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"54","GSG","11-3-C3",3,"C3","FILET","B",23,"22-E6",5,"Red","PS",1.799,2.67,2.586,5.441,8.354,2.67,2.586,2.628,0.976248117460521,0.984185856425385,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"55","GSG","11-1-C1",1,"C1","FILET","A",4,"24-B5",5,"Red","PS",2.007,2.635,2.628,5.543,8.487,2.635,2.628,2.6315,0.998006486412824,0.998671137869399,"sphere","GSG",1,"C1",29.27892,127,3.6,"Garonne","PS","No","B2"
